STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/20/20,2.46,,0,0,0,,61,53,210,230,10.1,13,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/21/20,3.13,,0.02,0,0,,60,50,250,250,12.1,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/22/20,2.91,,0,0,0,,61,47,230,220,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/23/20,3.58,,0,0,0,,67,48,220,240,12.1,15,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/24/20,3.36,,0,0,0,,69,49,200,210,8.9,11,1,1,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/25/20,2.46,,0,0,0,,61,50,210,210,10.1,13,1,1,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/26/20,2.68,,0,0,0,,60,52,260,270,10.1,15,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/27/20,6.49,,0,0,0,,70,49,340,350,15,25.9,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/28/20,5.59,,0,0,0,,71,53,10,10,16.1,27.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/29/20,7.61,,0,0,0,,76,55,350,350,18.1,33.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/30/20,3.58,,0,0,0,,69,50,220,220,8.9,13,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",01/31/20,4.25,,0,0,0,,79,49,250,230,10.1,13,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/01/20,4.47,,0,0,0,,78,53,240,240,8.9,12.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/02/20,4.7,,0,0,0,,66,51,20,10,17,25.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/03/20,11.41,,0,0,0,,60,47,350,360,25.9,47,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/04/20,7.61,,0,0,0,,56,44,220,20,17,23.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/05/20,4.25,,0,0,0,,59,44,220,240,12.1,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/06/20,4.47,,0,0,0,,61,42,240,220,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/07/20,2.68,,0,0,0,,61,44,230,260,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/08/20,3.36,,0,0,0,,61,46,230,210,12.1,14.1,1,1,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/09/20,5.37,,0.12,0,0,,60,52,110,130,14.1,19,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/10/20,8.5,,0,0,0,,74,56,30,30,18.1,28,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/11/20,6.49,,0,0,0,,69,49,220,220,17,25.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/12/20,4.03,,0,0,0,,63,46,220,220,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/13/20,3.36,,0,0,0,,63,46,240,270,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/14/20,4.03,,0,0,0,,63,46,240,250,12.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/15/20,3.36,,0,0,0,,62,45,230,210,10.1,13,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/16/20,3.58,,0,0,0,,64,49,240,220,13,16.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/17/20,3.58,,0,0,0,,63,47,230,210,10.1,14.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/18/20,4.03,,0,0,0,,64,50,240,270,12.1,16.1,1,1,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/19/20,3.36,,0,0,0,,63,54,230,240,12.1,15,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/20/20,3.8,,0,0,0,,75,49,270,250,12.1,16.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/21/20,4.92,,0,0,0,,74,54,210,200,13,15,,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/22/20,5.37,,0,0,0,,63,54,210,250,14.1,18.1,,,1,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/23/20,3.13,,0,0,0,,62,49,210,210,12.1,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/24/20,3.36,,0,0,0,,63,48,240,240,14.1,19,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/25/20,3.8,,0,0,0,,74,48,260,200,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/26/20,4.03,,0,0,0,,75,50,240,270,12.1,16.1,,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/27/20,4.03,,0,0,0,,81,54,20,30,10.1,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/28/20,4.47,,0,0,0,,86,59,200,220,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",02/29/20,4.47,,0,0,0,,68,55,220,210,14.1,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/01/20,6.26,,0,0,0,,57,51,240,220,15,21.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/02/20,5.82,,0,,0,,73,46,20,10,19.9,25.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/03/20,6.26,,0,0,0,,75,55,210,350,14.1,23.9,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/04/20,3.8,,0,0,0,,68,52,220,210,14.1,17,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/05/20,3.13,,0,0,0,,64,53,240,,12.1,,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/06/20,4.03,,0,0,0,,63,52,220,240,13,17,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/07/20,6.04,,0,0,0,,61,54,230,240,15,21,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/08/20,3.13,,0.01,,0,,61,49,250,250,13,18.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/09/20,4.25,,0.04,,0,,70,48,150,160,23,29.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/10/20,6.71,,0.13,0,0,,65,56,70,70,16.1,23.9,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/11/20,4.47,,0,0,0,,67,56,240,220,13,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/12/20,2.91,,1.51,0,0,,60,52,190,200,13,17,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/13/20,1.79,,0.65,0,0,,57,52,180,170,8.9,11,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/14/20,2.01,,0.18,0,0,,60,53,230,230,13,17,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/15/20,4.7,,0.15,0,0,,62,50,220,260,13,18.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/16/20,6.04,,0.38,,0,,60,46,200,190,21.9,28,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/17/20,3.8,,0.03,,0,,59,42,210,220,14.1,18.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/18/20,5.37,,0,0,0,,62,44,240,250,18.1,25.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/19/20,4.47,,0.09,,0,,60,46,200,200,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/20/20,3.8,,0,0,0,,62,50,220,200,10.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/21/20,3.8,,0,0,0,,63,52,240,240,14.1,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/22/20,4.25,,1.4,,0,,67,49,220,220,13,16.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/23/20,6.26,,0.02,0,0,,63,52,240,220,15,21,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/24/20,5.37,,0.01,0,0,,64,50,250,240,16.1,23,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/25/20,6.04,,0,0,0,,61,50,230,250,17,23.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/26/20,5.37,,0,0,0,,59,44,250,250,21,33.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/27/20,6.71,,0,0,0,,61,46,250,300,17,25.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/28/20,4.25,,0,0,0,,62,49,240,250,12.1,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/29/20,5.82,,0,0,0,,63,48,260,270,18.1,28,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/30/20,4.03,,0,0,0,,66,48,220,250,15,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",03/31/20,3.13,,0,0,0,,70,51,220,230,12.1,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/01/20,4.03,,0,0,0,,67,53,240,210,14.1,19,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/02/20,4.7,,0,0,0,,65,55,220,210,14.1,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/03/20,4.7,,0,0,0,,64,51,220,220,15,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/04/20,5.14,,0,0,0,,64,51,240,240,13,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/05/20,8.05,,0.03,0,0,,62,54,200,200,18.1,23,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/06/20,6.93,,0.86,0,0,,60,53,170,160,17,25.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/07/20,3.58,,0.25,0,0,,65,51,260,260,15,23,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/08/20,5.14,,0.02,,0,,61,48,210,210,15,21,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/09/20,5.59,,0.76,,0,,54,49,60,50,13,17,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/10/20,4.47,,0.25,,0,,65,49,40,40,12.1,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/11/20,4.92,,0,0,0,,65,49,230,220,13,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/12/20,4.47,,0,0,0,,60,56,220,210,10.1,13,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/13/20,4.7,,0.01,0,0,,63,53,240,250,15,21.9,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/14/20,3.58,,0,0,0,,65,50,240,240,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/15/20,5.37,,0,0,0,,76,53,230,240,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/16/20,4.7,,0,0,0,,67,53,220,210,12.1,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/17/20,4.7,,0,0,0,,64,55,220,210,15,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/18/20,4.92,,0,0,0,,64,57,240,240,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/19/20,6.04,,0,0,0,,64,56,240,250,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/20/20,6.04,,0,0,0,,64,53,230,240,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/21/20,4.47,,0,0,0,,68,52,220,210,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/22/20,4.92,,0,0,0,,79,53,20,20,13,21.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/23/20,6.04,,0,0,0,,81,60,350,10,14.1,23.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/24/20,4.47,,0,0,0,,83,62,210,230,10.1,13,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/25/20,4.47,,0,0,0,,80,60,220,220,10.1,13,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/26/20,3.8,,0,0,0,,72,57,220,270,12.1,14.1,1,1,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/27/20,3.36,,0,0,0,,69,57,250,230,10.1,14.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/28/20,3.8,,0,0,0,,72,58,230,210,13,17,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/29/20,4.25,,0,0,0,,68,58,220,240,14.1,17,1,1,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",04/30/20,3.58,,0,0,0,,66,60,220,230,10.1,14.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/01/20,3.13,,0,0,0,,70,57,220,210,14.1,18.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/02/20,5.37,,0,0,0,,71,58,240,220,16.1,23.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/03/20,4.7,,0,0,0,,70,56,220,210,15,21,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/04/20,3.36,,0,0,0,,72,56,240,240,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/05/20,4.25,,0,0,0,,78,58,220,220,13,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/06/20,3.58,,0,0,0,,83,59,210,200,12.1,15,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/07/20,4.03,,0,0,0,,83,62,220,220,13,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/08/20,4.47,,0,0,0,,75,59,240,240,13,16.1,,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/09/20,4.47,,0,0,0,,70,61,230,250,13,17,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/10/20,6.26,,0,0,0,,70,60,260,250,15,19.9,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/11/20,5.82,,0,0,0,,67,58,240,230,16.1,23,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/12/20,5.82,,0,0,0,,69,54,240,250,15,21,,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/13/20,5.37,,0,0,0,,70,53,250,230,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/14/20,5.14,,0,0,0,,71,56,240,270,19.9,30,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/15/20,5.14,,0,0,0,,73,59,230,220,13,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/16/20,4.7,,0,0,0,,73,59,230,230,12.1,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/17/20,5.37,,0,0,0,,73,59,220,210,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/18/20,8.05,,0.15,0,0,,68,57,240,250,17,25.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/19/20,6.04,,0,0,0,,67,53,250,230,19.9,28,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/20/20,5.82,,0,0,0,,67,55,230,240,15,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/21/20,4.25,,0,0,0,,72,56,240,260,14.1,18.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/22/20,4.92,,0,0,0,,71,57,230,260,14.1,21.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/23/20,5.82,,0,0,0,,69,58,230,240,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/24/20,4.7,,0,0,0,,70,56,230,250,15,23,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/25/20,4.47,,0,0,0,,70,58,230,240,13,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/26/20,4.03,,0,0,0,,70,57,230,210,13,19,1,1,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/27/20,4.47,,0,0,0,,70,58,220,220,13,17,1,1,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/28/20,4.92,,0,0,0,,68,60,220,240,12.1,16.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/29/20,5.37,,0,0,0,,69,60,230,210,13,17,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/30/20,6.49,,0,0,0,,71,59,250,250,17,25.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",05/31/20,5.59,,0,0,0,,70,56,250,270,15,21.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/01/20,4.92,,0,0,0,,77,59,250,270,16.1,23,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/02/20,3.8,,0,0,0,,78,58,220,220,13,14.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/03/20,4.7,,0,0,0,,77,62,240,230,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/04/20,6.04,,0,0,0,,73,62,210,220,13,18.1,1,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/05/20,6.26,,0,0,0,,69,63,240,260,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/06/20,6.71,,0,0,0,,69,60,230,230,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/07/20,7.38,,0,0,0,,73,57,10,10,19.9,32,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/08/20,9.62,,0,0,0,,83,64,10,360,21.9,32,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/09/20,5.82,,0,0,0,,91,64,260,260,17,25.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/10/20,5.37,,0,0,0,,87,66,260,230,13,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/11/20,4.7,,0,0,0,,80,60,220,220,12.1,15,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/12/20,4.92,,0,0,0,,71,60,230,260,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/13/20,5.82,,0,0,0,,71,59,250,250,17,25.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/14/20,5.14,,0,0,0,,71,58,230,230,14.1,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/15/20,5.37,,0,0,0,,71,59,240,240,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/16/20,5.59,,0,0,0,,71,62,220,210,15,21,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/17/20,5.59,,0,0,0,,73,63,220,220,14.1,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/18/20,5.14,,0,0,0,,70,62,220,210,12.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/19/20,5.82,,0,0,0,,70,63,240,230,14.1,19.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/20/20,5.59,,0,0,0,,68,62,240,240,15,19,,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/21/20,5.59,,0,0,0,,71,63,230,230,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/22/20,5.14,,0,0,0,,73,62,240,270,14.1,19,,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/23/20,5.59,,0,0,0,,71,61,240,230,12.1,16.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/24/20,4.25,,0,0,0,,71,60,230,240,13,17,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/25/20,5.37,,0,0,0,,72,62,230,220,13,16.1,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/26/20,4.92,,0,0,0,,70,61,230,220,14.1,19,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/27/20,4.25,,0,0,0,,71,61,230,250,12.1,16.1,1,,,,,,1,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/28/20,5.82,,0,0,0,,70,63,230,260,13,15,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/29/20,5.37,,0,0,0,,71,61,230,230,12.1,17,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",06/30/20,5.82,,0,0,0,,70,59,240,240,17,21.9,,,,,,,,
USW00093197,"SANTA MONICA MUNICIPAL AIRPORT, CA US",07/01/20,4.7,,0,0,0,,71,63,230,240,13,18.1,,,,,,,,
